question,q_en,q_es,q_zh
q1,1. Are you a resident of the city of Oakland?,1. ¿Es usted residente de la ciudad de Oakland?,1. .您是Oakland市居民吗?
q2,"2. Generally speaking, how would you rate Oakland as a place to live?","2. En términos generales, ¿cómo calificaría a Oakland como un lugar para vivir?",2. 总体来说，您认为Oakland是一个怎样的居住地？
q3,3. Do you approve or disapprove of the overall job being done by Oakland City government in providing services to the people who live here?,3. ¿Aprueba o desaprueba el trabajo general que realiza el gobierno de la ciudad de Oakland al brindar servicios a las personas que viven aquí?,3. 您是否赞同Oakland市政府为当地居民提供服务所做的总体工作？
q4,"4. In the next two years, what are the two most important issues facing Oakland residents that you would like to see prioritized in the City government budget? Please only share TWO.","4. En los próximos dos años, ¿cuáles son los dos problemas más importantes que enfrentan los residentes de Oakland y que le gustaría que se priorizaran en el presupuesto del gobierno municipal? Por favor, comparta solo DOS.",4. 在未来两年内，Oakland居民面临的需要市政府预算优先考虑的最重要的两个问题是什么？请仅分享两个。
q5,5. Which of the following are most important to you to make Oakland a place you’re happy to call home? (Select up to 3),5. ¿Cuáles de las siguientes son las más importantes para usted para que le gustaría llamar Oakland su hogar? (Seleccione hasta 3),5. 为了使Oakland成为您乐意称之为家的地方，以下哪些因素对您来说最重要？（最多选择 3 项）
q6,"6. In the last 5 years, how has Oakland’s budget most impacted your household and/or work? (Select up to 3)","6. En los últimos 5 años, ¿cómo ha afectado el presupuesto de Oakland a su hogar y/o trabajo? (Seleccione hasta 3)",6. 过去 5 年中，Oakland的预算对您的家庭和/或工作有何最大影响？（最多选择 3 个）
q7,7. For public safety....which of the following would you support reducing funding? Please choose ONE.,7. En materia de seguridad pública... ¿cuál de las siguientes opciones apoyaría que se redujera la financiación? Elija UNA.,7. 为了公共安全....您支持减少下列哪项资金？请只选择一项。
q8,8. For economic growth...which of the following would you support reducing funding? Please choose ONE.,8. Para el crecimiento económico... ¿cuál de las siguientes opciones apoyaría que se redujera la financiación? Elija UNA.,8. 为了经济增长...您支持减少下列哪项资金？请只选择一项。
q9,9. For transportation...which of the following would you support reducing funding? Please choose ONE.,9. En el caso del transporte... ¿cuál de las siguientes opciones apoyaría que se redujera la financiación? Elija UNA.,9. 对于交通运输...您支持减少下列哪项资金？请只选择一项。
q10,10. For youth and community investments... which of the following would you support reducing funding? Please choose ONE.,10. En el caso de las inversiones en la juventud y la comunidad... ¿cuál de las siguientes opciones apoyaría que se redujera la financiación? Elija UNA.,10. 对于青年和社区投资...您支持减少以下哪项资金？请只选择一项。
q11,11. For housing and homelessness investments...which of the following would you support reducing funding? Please choose ONE.,11. En el caso de las inversiones en vivienda y para personas sin hogar... ¿cuál de las siguientes opciones apoyaría que se redujera la financiación? Elija UNA.,11. 对于住房和无家可归者投资...您支持减少以下哪项资金？请至选择一项。
q12,"12. On the April 15 special election, you will be asked to vote on an increase on sales tax in Oakland from 10.25% to 10.75%. That's an extra 50 cents on a $100 purchase. This sales tax increase is expected to raise $20-$30M/year for the City of Oakland. Would you vote in support of this sales tax increase?","12. En las elecciones especiales del 15 de abril, se le pedirá que vote sobre un aumento del impuesto a las ventas en Oakland del 10,25 % al 10,75 %. Eso significa 50 centavos adicionales en una compra de $100. Se espera que este aumento del impuesto a las ventas recaude entre $20 y $30 millones al año para la ciudad de Oakland. ¿Votaría a favor de este aumento del impuesto a las ventas?",12. 在 4 月 15 日的特别选举中，您将被要求投票支持将Oakland的销售税从 10.25% 提高到 10.75%。这意味着每购买 100 美元商品，将额外增加 50 美分。预计此次销售税增加将为Oakland市每年增加 2000-3000 万美元。您会投票支持此次销售税增加吗？
q13,13. What are other ways that the City could reduce expenses or increase revenues that you would you like City Council members to consider as they develop the 2025-2027 budget for the City of Oakland?,13. ¿De que otras maneras podría la ciudad reducir gastos o aumentar ingresos que le gustaría que los miembros del Concejo Municipal consideren a medida que desarrollan el presupuesto 2025-2027 para la Ciudad de Oakland?,13. 在制定Oakland市 2025-2027 年预算时，您希望市议会成员考虑哪些其他方式来减少开支或增加收入？
q14,14. Which district do you live in?,14. ¿En qué distrito vive?,14. 您住在哪个区？
q15,15. How long have you lived in Oakland?,15. ¿Cuánto tiempo lleva viviendo en Oakland?,15. 您在Oakland住了多久了？
q16,16. How old are you?,16. ¿Qué edad tiene?,16. 你多大了？
q17,17. Which racial or ethnic group do you identify yourself?,17. ¿Con qué grupo racial o étnico te identificas?,17. 您认为自己属于哪个种族或民族？
q18,18. What is your gender?,18. ¿Cuál es tu género?,18. 您的性别是？
q19,19. What was the last level of school you completed?,19. ¿Cuál fue el último nivel de escuela que completaste?,19. 您完成的最后一个学业是？
